from,to,value,group
0,39,1,A
0,47,1,A
0,71,1,A
39,84,8,A
39,50,1,A
47,39,2,A
71,39,3,A
71,84,1,A
1,22,1,B
1,30,1,B
1,31,1,B
1,33,1,B
1,43,1,B
1,61,1,B
1,67,1,B
1,74,1,B
1,75,1,B
22,73,1,B
30,73,2,B
31,73,1,B
33,73,1,B
43,73,1,B
61,73,8,B
67,73,10,B
67,61,6,B
74,73,1,B
75,73,1,B
2,14,1,C
2,19,1,C
2,21,1,C
2,23,1,C
2,27,1,C
2,44,1,C
2,49,1,C
2,53,1,C
2,65,1,C
2,79,1,C
2,80,1,C
2,84,1,C
2,85,1,C
14,38,1,C
14,50,1,C
14,84,2,C
19,53,2,C
19,21,2,C
19,84,2,C
19,14,1,C
21,84,3,C
21,53,3,C
21,14,2,C
23,53,2,C
23,21,2,C
23,19,2,C
23,84,2,C
23,14,1,C
27,53,2,C
27,21,2,C
27,19,2,C
27,23,2,C
27,84,2,C
27,14,1,C
44,84,1,C
49,84,1,C
53,84,3,C
53,14,2,C
65,84,1,C
79,84,1,C
80,76,2,C
80,84,3,C
80,38,2,C
80,50,1,C
84,54,1,C
84,67,3,C
84,61,3,C
84,73,5,C
85,84,2,C
85,50,1,C
3,16,1,D
3,34,1,D
3,37,1,D
3,38,1,D
3,40,1,D
3,55,1,D
3,59,1,D
3,76,1,D
3,87,1,D
16,82,4,D
16,55,4,D
16,37,4,D
34,82,3,D
34,55,3,D
34,37,3,D
34,16,3,D
34,40,5,D
37,82,4,D
37,55,4,D
38,82,3,D
38,55,3,D
38,37,3,D
38,16,3,D
38,40,4,D
38,34,4,D
38,87,4,D
38,59,2,D
38,84,9,D
40,82,3,D
40,55,3,D
40,37,3,D
40,16,4,D
55,82,4,D
59,84,1,D
76,38,1,D
87,82,3,D
87,55,3,D
87,37,3,D
87,16,3,D
87,40,4,D
87,34,4,D
4,11,1,E
4,12,1,E
4,20,1,E
4,26,1,E
4,36,1,E
4,48,1,E
4,50,1,E
4,69,1,E
4,70,1,E
4,81,1,E
11,36,2,E
11,81,2,E
11,69,1,E
12,81,6,E
12,48,6,E
12,84,1,E
12,69,1,E
12,50,2,E
12,42,1,E
12,36,1,E
20,12,3,E
20,48,3,E
20,81,3,E
20,42,1,E
20,36,1,E
20,26,1,E
20,70,1,E
26,81,4,E
26,12,4,E
26,48,4,E
26,84,1,E
26,69,1,E
26,50,1,E
26,36,1,E
26,35,1,E
36,69,2,E
36,81,3,E
48,81,5,E
48,84,1,E
48,69,1,E
48,50,1,E
48,42,1,E
48,36,1,E
50,84,17,E
50,38,5,E
50,81,5,E
50,69,1,E
50,29,1,E
69,38,2,E
69,84,7,E
70,50,1,E
70,12,2,E
70,48,2,E
70,26,2,E
70,84,1,E
70,42,1,E
70,36,1,E
70,81,1,E
77,81,1,E
81,69,13,E
81,38,1,E
81,84,12,E
5,15,1,F
5,29,1,F
5,45,1,F
5,56,1,F
5,62,1,F
5,63,1,F
5,68,1,F
5,83,1,F
5,86,1,F
15,45,1,F
15,60,1,F
29,69,4,F
29,84,31,F
29,82,1,F
29,81,1,F
45,29,3,F
45,84,2,F
56,62,2,F
56,45,1,F
56,29,1,F
58,45,1,F
58,69,1,F
62,45,9,F
62,29,2,F
62,84,2,F
63,62,1,F
68,62,1,F
68,77,1,F
83,29,2,F
83,50,1,F
83,84,1,F
86,84,3,F
86,29,1,F
86,50,1,F
6,18,1,G
18,81,1,G
7,64,1,H
64,52,1,H
8,13,1,I
8,17,1,I
8,28,1,I
8,32,1,I
8,35,1,I
8,41,1,I
8,42,1,I
8,46,1,I
8,51,1,I
8,57,1,I
8,60,1,I
8,78,1,I
13,28,5,I
13,42,5,I
13,32,6,I
13,57,2,I
13,35,4,I
13,41,3,I
13,78,2,I
13,60,1,I
17,60,5,I
17,32,12,I
17,42,5,I
17,13,4,I
17,35,10,I
17,41,6,I
17,78,2,I
17,28,9,I
17,57,1,I
17,84,1,I
28,35,15,I
28,60,5,I
28,42,6,I
28,57,2,I
32,60,9,I
32,35,17,I
32,28,13,I
32,42,7,I
32,57,2,I
32,36,1,I
32,41,6,I
32,78,3,I
35,60,7,I
35,42,7,I
35,50,6,I
35,57,1,I
35,84,4,I
41,42,2,I
41,35,6,I
41,78,2,I
41,28,5,I
41,57,1,I
41,60,1,I
42,64,2,I
42,81,1,I
42,50,1,I
42,84,1,I
46,17,3,I
46,35,3,I
46,28,1,I
46,32,2,I
46,51,2,I
46,42,1,I
46,13,1,I
46,41,1,I
46,78,1,I
51,13,5,I
51,17,7,I
51,42,3,I
51,32,5,I
51,35,5,I
51,41,5,I
51,78,2,I
51,28,5,I
51,57,1,I
51,60,2,I
57,60,1,I
57,36,1,I
57,42,1,I
60,62,6,I
60,45,12,I
60,77,1,I
60,56,1,I
60,29,21,I
60,84,19,I
60,82,1,I
60,81,2,I
60,36,5,I
60,42,4,I
66,17,1,I
66,51,1,I
66,46,1,I
66,13,1,I
66,32,1,I
66,42,1,I
66,35,1,I
78,42,1,I
78,35,4,I
78,28,2,I
9,72,1,J
72,57,3,J
10,24,1,K
10,25,1,K
24,42,2,K
25,24,3,K
